# negative-coverage baseline ledger (debt D7 — docs/verdict_policy.md §6).
# Each line is a `CASE_ID|reason` whose NEG_ROW currently lands on
# `inconclusive` (VACUOUS — proves nothing via fail). Generated by
# tools/negative_coverage_audit.py --write-baseline. A fix (re-role,
# parameterize, re-point, or retire) MUST delete the row's line here too;
# negative_coverage_audit.py --check fails on a stale or new entry.
ICMPv4_ERROR_02|no_parameter_problem_within_listen_window
ICMPv4_TYPE_11|no_timestamp_reply_within_listen_window
ICMPv4_TYPE_18|no_dest_unreachable_within_listen_window
ICMPv4_TYPE_22|no_echo_reply_within_listen_window
IPv4_CHECKSUM_05|no_dut_ipv4_packet_within_listen_window
IPv4_FRAGMENTS_05|no_dut_originated_udp_within_listen_window
IPv4_HEADER_01|no_dut_ipv4_packet_within_listen_window
IPv4_HEADER_03|no_dut_ipv4_packet_with_expected_source_address
IPv4_HEADER_05|no_echo_reply_for_576_byte_datagram
IPv4_TTL_01|no_dut_ipv4_packet_within_listen_window
IPv4_TTL_05|no_dut_ipv4_packet_with_expected_source_address
IPv4_VERSION_01|no_dut_ipv4_packet_with_expected_source_address
IPv4_VERSION_03|no_dut_ipv4_packet_within_listen_window
SOMEIPSRV_RPC_14|no_response_from_instance_1_udp_port_30502
SOMEIPSRV_RPC_17|no_response_from_instance_1_tcp_port_30501
SOMEIPSRV_SD_MESSAGE_02|no_two_entry_offer_for_findservice_any_within_listen_window
SOMEIP_ETS_001|no_offer_service_within_listen_window
SOMEIP_ETS_002|no_offer_service_within_listen_window
SOMEIP_ETS_003|no_offer_service_within_listen_window
SOMEIP_ETS_004|no_offer_service_within_listen_window
SOMEIP_ETS_033|no_offer_service_within_listen_window
SOMEIP_ETS_034|no_offer_service_within_listen_window
SOMEIP_ETS_037|no_offer_service_within_listen_window
SOMEIP_ETS_039|no_offer_service_within_listen_window
SOMEIP_ETS_040|no_offer_service_within_listen_window
SOMEIP_ETS_041|no_offer_service_within_listen_window
SOMEIP_ETS_042|no_offer_service_within_listen_window
SOMEIP_ETS_043|no_offer_service_within_listen_window
SOMEIP_ETS_044|no_offer_service_within_listen_window
SOMEIP_ETS_045|no_offer_service_within_listen_window
SOMEIP_ETS_046|no_offer_service_within_listen_window
SOMEIP_ETS_047|no_offer_service_within_listen_window
SOMEIP_ETS_048|no_offer_service_within_listen_window
SOMEIP_ETS_049|no_offer_service_within_listen_window
SOMEIP_ETS_050|no_offer_service_within_listen_window
SOMEIP_ETS_051|no_offer_service_within_listen_window
SOMEIP_ETS_052|no_offer_service_within_listen_window
SOMEIP_ETS_053|no_offer_service_within_listen_window
SOMEIP_ETS_054|no_offer_service_within_listen_window
SOMEIP_ETS_055|no_offer_service_within_listen_window
SOMEIP_ETS_058|no_offer_service_within_listen_window
SOMEIP_ETS_059|no_offer_service_within_listen_window
SOMEIP_ETS_060|no_offer_service_with_udp_and_tcp_endpoints_within_listen_window
SOMEIP_ETS_061|no_offer_service_within_listen_window
SOMEIP_ETS_063|no_offer_service_within_listen_window
SOMEIP_ETS_064|no_offer_service_within_listen_window
SOMEIP_ETS_065|no_offer_service_within_listen_window
SOMEIP_ETS_066|no_offer_service_within_listen_window
SOMEIP_ETS_067|no_offer_service_within_listen_window
SOMEIP_ETS_068|no_offer_service_within_listen_window
SOMEIP_ETS_069|no_offer_service_within_listen_window
SOMEIP_ETS_070|no_offer_service_within_listen_window
SOMEIP_ETS_071|no_offer_service_within_listen_window
SOMEIP_ETS_072|no_offer_service_within_listen_window
SOMEIP_ETS_073|no_offer_service_within_listen_window
SOMEIP_ETS_074|no_offer_service_within_listen_window
SOMEIP_ETS_075|no_offer_service_within_listen_window
SOMEIP_ETS_076|no_offer_service_within_listen_window
SOMEIP_ETS_077|no_offer_service_within_listen_window
SOMEIP_ETS_078|no_offer_service_within_listen_window
SOMEIP_ETS_081|no_offer_service_within_listen_window
SOMEIP_ETS_082|no_offer_service_within_listen_window
SOMEIP_ETS_084|no_offer_service_within_listen_window
SOMEIP_ETS_086|no_offer_service_with_ipv4_endpoint_within_listen_window
